section,cardtag,card_title,card_description,footer,card_link,share_text,share_link,,
Partners,Explorers,Cipherscan,"Search blocks, transactions, and addresses on the Zcash blockchain. Track shielded pool activity, privacy scores, and network health in real time.",cipherscan.app,https://cipherscan.app,CipherScan supports exploring ZcashNames and Zcash network activity.,https://www.zcashnames.com/community#cipherscan-app,,
Partners,Wallets,Edge Wallet,"A non-custodial, multi-currency mobile cryptocurrency wallet that allows users to securely buy, sell, exchange, and store digital assets on their iOS or Android devices.",edge.app,https://edge.app/,Edge Wallet now supports ZcashNames - send ZEC to a personal name.,https://www.zcashnames.com/community#edge-wallet,,
Partners,Wallets,Zingo Wallet,"A self-custody, Zcash-only, shielded wallet that gives you a way to send, receive, and spend ZEC.",zingo.pm,https://zingolabs.org/,Zingo Wallet now supports ZcashNames - send ZEC to a personal name.,https://www.zcashnames.com/community#zingo-wallet,,
Partners,Wallets,Cake Wallet,"A popular, open-source, non-custodial cryptocurrency wallet that supports Zcash with rotating addresses and in-app swaps.",cakewallet.com,https://cakewallet.com/,Cake Wallet now supports ZcashNames - send ZEC to a personal name.,https://www.zcashnames.com/community#cake-wallet,,
Partners,Wallets,Unstoppable Wallet,"A highly secure, non-custodial multi-coin mobile app known for its strong emphasis on user privacy and financial sovereignty.",unstoppable.money,https://unstoppable.money/,Unstoppable Wallet now resolves ZcashNames - send to a personal name.,https://www.zcashnames.com/community#unstoppable-wallet,,
Partners,Wallets,Zipher Wallet,"A Zcash wallet for humans, merchants, and AI agents. It has a mobile app, a CLI, and an MCP server for agent workflows.",zipher.app,https://zipher.to/,Zipher Wallet now supports ZcashNames - send ZEC to a personal name.,https://www.zcashnames.com/community#zipher-wallet,,
Partners,Wallets,Noir Wallet,Browser wallet bringing shielded privacy and native Zcash DeFi access into extension-based flows.,zknoir.com,http://zknoir.com,Noir Wallet is bringing ZcashNames into browser wallet and DeFi flows.,https://www.zcashnames.com/community#noir-wallet,,
Partners,Profiles,Zcash.me,"Profile infrastructure for connecting names, identity, and public Zcash presence.",zcash.me,https://zcash.me,@ZcashMe supports ZcashNames profiles and identity.,https://www.zcashnames.com/community#zcashme,,
Get Involved,Product,Beta Test,"Try ZcashNames before release, test real workflows, and send feedback to the team.",Try the product before release,/beta/apply,Apply to beta test ZcashNames before release.,https://www.zcashnames.com/community#beta-test,,
Get Involved,Campaign,Share Kit,Use ready-made posts and referral messaging to promote ZcashNames across social channels.,Ready-made posts and referral copy,/sharekit,Use the ZcashNames Share Kit to promote your referral link and outreach posts.,https://www.zcashnames.com/community#sharekit,,
Get Involved,Campaign,Referrals Dashboard,"Enter a referral code to view referrals, projected rewards, and dashboard details.",Referral code dashboard,/leaders/ref,Track ZcashNames referrals from the community dashboard.,https://www.zcashnames.com/community#referrals-dashboard,,
Get Involved,Campaign,Address Me By My Name,"Create a custom 'Address Me By My Name' image with your name, share it on social media.",Share memes,/namepost,Create and share your `Address Me By My Name` promo.,https://www.zcashnames.com/community#namepost,,
Social,Announcements,X / Twitter,Fast product notes and public launch updates.,x.com/zcashnames,https://x.com/zcashnames,Join ZcashNames on X / Twitter.,https://www.zcashnames.com/community#x-twitter,,
Social,Discussion,Discord,"Talk through integrations, feedback, and community ideas.",discord.gg/z2H23QgAGf,https://discord.gg/z2H23QgAGf,Join ZcashNames on Discord.,https://www.zcashnames.com/community#discord,,
Social,Chat,Telegram,Join the day-to-day community chat around ZcashNames.,t.me/zcashnames,https://t.me/zcashnames,Join ZcashNames on Telegram.,https://www.zcashnames.com/community#telegram,,
Social,Private group,Signal,Follow the Signal group for community coordination.,signal.group/#CjQKIKDM76KMttnFqmbtbKzcfDrGeLtR6wWQq82YM8LWdyNhEhBGKNSZVjTREwDLqhatYhLH,https://signal.group/#CjQKIKDM76KMttnFqmbtbKzcfDrGeLtR6wWQq82YM8LWdyNhEhBGKNSZVjTREwDLqhatYhLH,Join ZcashNames on Signal.,https://www.zcashnames.com/community#signal,,
Social,Source and issues,GitHub,"Review the code, follow development, and open issues for ZcashNames tooling.",github.com/zcashme/zcashnames,https://github.com/zcashme/zcashnames,Follow ZcashNames development on GitHub.,https://www.zcashnames.com/community#github,,
Features,Community rank,Leaderboard,See who is growing the waitlist and compare community momentum over time.,Community ranking,/leaders,Follow the ZcashNames community leaderboard.,https://www.zcashnames.com/community#leaderboard,,
Features,Registry activity,Explorer,"Search names, review events, and browse registry activity across ZcashNames.","Names, events, and listings",/explorer,Explore ZcashNames registry activity.,https://www.zcashnames.com/community#explorer,,
Events,Community hub,Zcash Network School,"A Zcash presence at Network School in Malaysia - weekly office hours, ZK education, and wallet onboarding.","Network School, Malaysia",https://forum.zcashcommunity.com/t/zcash-network-school/55269,Zcash Network School is bringing privacy education and wallet onboarding to Southeast Asia.,https://www.zcashnames.com/community#zcash-network-school,,
Events,Partner events,Sponsor an Event,"Support education, onboarding, and regional ZcashNames activity with the team.",Sponsorship and event support,https://cal.com/zcash,Sponsor a ZcashNames community event.,https://www.zcashnames.com/community#sponsor-event,,
Blogs,Company,ZcashNames Updates,Follow the core docs and product resources as ZcashNames moves toward release.,Product resources,/docs,@ZcashNames blog updates are live. Follow along for product notes and resources.,https://www.zcashnames.com/community#zcashnames-updates,,
Blogs,Product,Launch Notes,"Read pricing, rollout, and beta context for the current ZcashNames release phase.",Pricing and rollout context,/docs/learn/pricing,@ZcashNames launch notes are live. Follow along for rollout updates.,https://www.zcashnames.com/community#launch-notes,,
Blogs,Product,Builder Stories,"Explore integration paths for wallets, explorers, apps, and ecosystem builders.","Wallets, apps, and integrations",/docs/integrate,@ZcashNames builder stories are live. Follow along for wallet, app, and integration updates.,https://www.zcashnames.com/community#builder-stories
